RNA	protein	phylogroup	type
5S_rRNA	Ribosomal_L5	ecol2nmen	Ribosome
5S_rRNA	Ribosomal_L5_C	ecol2nmen	Ribosome
6S	Sigma70_ner	ecol2nmen	RNP
Arg	Arg_tRNA_synt_N	ecol2nmen	tRNA+synthetase
Arg	tRNA-synt_1d	ecol2nmen	tRNA+synthetase
Bacteria_small_SRP	SRP54	ecol2nmen	RNP
Bacteria_small_SRP	SRP54_N	ecol2nmen	RNP
Bacteria_small_SRP	SRP_SPB	ecol2nmen	RNP
Cobalamin	Plug	ecol2styp	Cis-regulatory
Cobalamin	TonB_dep_Rec	ecol2styp	Cis-regulatory
cspA	CSD	ecol2styp	Cis-regulatory
CsrB	CsrA	ecol2styp	RNP
FMN	DHBP_synthase	ecol2styp	Cis-regulatory
GcvB	Hfq	ecol2styp	RNP
GlmY_tke1	ATP_bind_2	ecol2styp	RNP
GlmZ_SraJ	RNase_E_G	ecol2styp	Cis-regulatory
His_leader	His_leader	ecol2styp	Dual-function
Leu	tRNA-synt_1	ecol2nmen	tRNA+synthetase
Leu	tRNA-synt_1_2	ecol2nmen	tRNA+synthetase
Leu_leader	Leu_leader	ecol2styp	Dual-function
LSU_rRNA_bacteria	ribosomal_L24	ecol2nmen	Ribosome
LSU_rRNA_bacteria	Ribosomal_L31	ecol2nmen	Ribosome
LSU_rRNA_bacteria	Ribosomal_L6	ecol2nmen	Ribosome
Mg_sensor	MGTL	ecol2styp	Cis-regulatory
MicA	Hfq	ecol2styp	RNP
OxyS	Hfq	ecol2styp	RNP
Phe	B3_4	ecol2nmen	tRNA+synthetase
Phe	tRNA_bind	ecol2nmen	tRNA+synthetase
RNaseP_bact_a	Ribonuclease_P	ecol2nmen	RNP
ROSE_2	HSP20	ecol2styp	Cis-regulatory
rseX	Hfq	ecol2styp	RNP
S15	Ribosomal_S15	ecol2nmen	Cis-regulatory
Ser	Seryl_tRNA_N	ecol2nmen	tRNA+synthetase
Ser	tRNA-synt_2b	ecol2nmen	tRNA+synthetase
SgrS	SgrT	ecol2styp	Dual-function
SSU_rRNA_bacteria	Ribosomal_S15	ecol2nmen	Ribosome
SSU_rRNA_bacteria	Ribosomal_S17	ecol2nmen	Ribosome
SSU_rRNA_bacteria	Ribosomal_S21	ecol2nmen	Ribosome
Thr_leader	Leader_Thr	ecol2styp	Dual-function
tmRNA	GTP_EFTU	ecol2nmen	RNP
tmRNA	S1	ecol2nmen	RNP
TPP	ThiC-associated	ecol2nmen	Cis-regulatory
TPP	ThiC_Rad_SAM	ecol2nmen	Cis-regulatory
Trp_leader	Leader_Trp	ecol2styp	Dual-function
