1-cysPrx_C	PF10417	C-terminal domain of 1-Cys peroxiredoxin
120_Rick_ant	PF12574	120 KDa Rickettsia surface antigen
12TM_1	PF09847	Membrane protein of 12 TMs
14-3-3	PF00244	14-3-3 protein
17kDa_Anti_2	PF16998	17 kDa outer membrane surface antigen
2-Hacid_dh	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain
2-Hacid_dh_C	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain
2-oxoacid_dh	PF00198	2-oxoacid dehydrogenases acyltransferase (catalytic domain)
2-oxogl_dehyd_N	PF16078	2-oxoglutarate dehydrogenase N-terminus
2-ph_phosp	PF04029	2-phosphosulpholactate phosphatase
23ISL	PF16620	Unstructured linker between I-set domains 2 and 3 on MYLCK
23S_rRNA_IVP	PF05635	23S rRNA-intervening sequence protein
2CSK_N	PF08521	Two-component sensor kinase N-terminal
2C_adapt	PF08793	2-cysteine adaptor domain
2Fe-2S_Ferredox	PF11591	Ferredoxin chloroplastic transit peptide
2Fe-2S_thioredx	PF01257	Thioredoxin-like [2Fe-2S] ferredoxin
2H-phosphodiest	PF08975	Domain of unknown function (DUF1868)
2HCT	PF03390	2-hydroxycarboxylate transporter family
2OG-FeII_Oxy	PF03171	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_2	PF13532	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_3	PF13640	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_4	PF13661	2OG-Fe(II) oxygenase superfamily
2OG-FeII_Oxy_5	PF13759	Putative 2OG-Fe(II) oxygenase
2OG-Fe_Oxy_2	PF10014	2OG-Fe dioxygenase
2TM	PF13239	2TM domain
2_5_RNA_ligase2	PF13563	2'-5' RNA ligase superfamily
3-alpha	PF03475	3-alpha domain
3-dmu-9_3-mt	PF06983	3-demethylubiquinone-9 3-methyltransferase
3-HAO	PF06052	3-hydroxyanthranilic acid dioxygenase
3-PAP	PF12578	Myotubularin-associated protein
30K_MP_core	PF17644	Core domain of 30K viral movement proteins
30K_MP_C_Ter	PF11330	C-Terminal of 30K viral movement proteins
3A	PF00803	3A/RNA2 movement protein family
3Beta_HSD	PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family
3D	PF06725	3D domain
3H	PF02829	3H domain
3HBOH	PF10605	3HB-oligomer hydrolase (3HBOH)
3HCDH	PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
